Date (yyyymmdd),Time (PST),Task,
20200829,,"Swapped CTD (installed 2783). Cleaned fluoro, trans, cleared blocked tubing",
20200807,,Cleaned fluoro and trans. Got connection.. now just need to reimplememnt program,
20200730,,"Cleaned fluoro, trans, Nitrate, pCO2. Still trying to figure out networking configs",
20200728,,Cleaned fluoro and trans. still trying to figure out networking configurations of Lingcod,
20200724,,Cleaned fluoro and trans. Seems to be a problem with the LINGCOD MicroSD Card & image. brought card back to lab for repair.,
20200717,,"Cleaned fluoro, trans, CTD, pH. Power cycled LINGCOD again.. seems to be working but no coms?",
20200715,,Cleaned fluoro and trans. Power cycled LINGCOD pi. Still no co2 or nitrate data.. no coms with Pi. Cleaned optode.. looks like foil is impacted. Need to swap asap.,
20200709,,Cleaned fluoro and trans. Power cycled LINGCOD pi.. Why isn't Saturation plotting?,
20200623,,"Leak sprang up over the weekend right before fluorometer (so fluoro, Nitrate, pCO2, & pH would've been impacted). Fixed today. Found lots of fouling in lines. Spraying water caused GFCI to trip removing power from the system. All restore today.",
20200521,,Cleaned fluoro and trans,
20200515,,Cleaned fluoro and trans,
20200513,830-1030am,Intake line pigged,
20200508,,Cleaned fluoro and trans,
20200501,,"Cleaned fluoro & trans, SUNA, C-Sense",
20200424,,Cleaned fluoro & trans,
20200419,~2pm local,Turned water back on. ,
20200417,,Cleaned fluoro and trans. Forgot to turn water back on. Oops!,
20200414,,Cleaned fluoro and trans,
20200410,,Cleaned fluoro and trans,
20200407,,Cleaned fluoro and trans,
20200402,,"Serial adapter from Nitrate sensor failed, bringing down pCO2 with it. Replaced and its working now (need to decouple those). Cleaned fluoro and trans.",
20200330,,"Flow blocked at flowmeter, caused pressure to flow connector from CTD outlet. Fixed. Cleaned trans",
20200326,,"Cleaned fluoro, trans, pCO2",
20200316,,CTD Memory was full as of 3/11. Wiped memory today. Cleaned fluoro & trans,
20200304,,Cleaned trans. Flow ok.,
20200228,,Cleaned fluoro and trans,
20200219,,Cleaned fluoro and trans,
20200207,,"Cleaned fluoro, trans, pCO2, optode, pH sensor. Cleared an obstruction from the reducing adapter between the trans and CTD.",
20200205,,No flow to system. Cleared input valve and cleaned transmissometer,
20200130,,Cleaned fluoro and trans,
20200117,,Cleaned fluoro and trans,
20191231,,"Cleaned fluoro, trans, and pCO2 sensors",
20191217,,Cleaned fluoro and trans,
20191217,,SUNA #1111 updated the reference with MiliQ.. there was a little bit of a drift in the signal.. see grab sample sheet for details,
20191210,,Updated pH raw conversion function and back corrected to 11/27,
20191206,,Calibrated pH (single point) to Dickson TRIS buffer,UTC 1855 to 1907
20191203,,Cleaned fluoro and trans. Someone had turned the water off to the sensors. Got it flowing again.,
20191127,,Repaired wiring to pH circuit (corroded & broken analog wire.. red),
20191126,,Cleaned fluoro and trans. Suspect wiring is the issue with pH signal,
20191122,,Cleaned fluoro and trans. pH probe doesn't like being upside down. ,
20191115,,"Cleaned fluoro, trans. Unclogged line. whats up with pH signal?",
20191108,,"Cleaned fluoro, trans, co2, SUNA, optode, CTD, and pH",
20190926,,"Cleaned fluoro, trans, co2, SUNA, optode, CTD, and pH",
20190919,,Cleaned fluoro and trans,
20190827,,"Cleaned fluoro, trans, pCO2.",
20190820,,Cleaned fluoro and trans,
20190807,,Cleaned fluoro and trans. Calibrated Durafet with Dickson Standard,
20190730,,Cleaned fluror and trans. Begin conditioning new Durafet III pH electrode in seawater,
20190717,,Cleaned fluoro and trans,
20190709,,"Cleaned fluoro, trans, optode, CTD, Nitrate, pCO2 sensors",
20190709,,Several power outages over the long weekend created data disruptions,
20190628,,Cleaned fluoro and trans,
20190620,,Cleaned fluoro and trans,
20190614,,Cleaned fluoro and trans,
20190607-10,,Bad flow to system,
20190603,,Cleaned fluoro and trans,
20190530,,"Cleaned fluoro, trans, optode, pCO2 sensors",
20190529,,Cleaned fluoro and trans,
20190514,,Swapped CTD for unit with fresh calibration,
20190506,,"Cleaned pCO2, trans, fluoro, Nitrate, optode",
20190502,,Rinsed C-sense membrane with fresh water. ,
20190501,1130,"Cleaned fluoro, trans, flushed pCO2",
20190402,,Cleaned fluor and trans,
20190326,1000,CTD memory full. Cleared. Cleaned fluoro and trans.,
20190319,,Swapped optode 1921 for 1238. 1238 has a fresh calibration. Deployed C-Sense with new flow cell. ,
20190219,1200,"Cleaned fluoro, trans, optode, SUNA.",
20190129,915,Cleaned fluor and trans.,
20190116,1145,"pCO2 sensor brought into lab, rinsed with freshwater and air-dry. Looks like water under the membrane. Emailed Turner.",pCO2 sent back to manufacturer on..
20190115,2000,pCO2 drifted up to 1800 from 600ppm. Unknown reason.,
20190115,,Swapped SUNA 1112 for SUNA 1111.,See grab sample spreadsheet for cal check notes
