# date range of values to flag, created using manual_flag() on 2021-04-04-110606
2012-01-21T18:15:29.000000000,2012-01-24T02:20:34.000000000
2012-01-28T09:45:42.000000000,2012-01-29T21:10:45.000000000
2012-09-29T00:08:47.000000000,2012-09-29T22:43:50.000000000
2012-10-08T17:18:04.000000000,2012-10-09T19:23:54.000000000
2013-02-08T21:33:45.000000000,2013-02-12T23:46:32.000000000
2013-06-30T13:56:00.000000000,2013-07-03T03:21:05.000000000
2013-09-15T22:27:01.000000000,2013-09-16T18:35:55.000000000
2013-10-17T13:10:33.000000000,2013-10-25T17:53:17.000000000
2013-12-05T13:35:15.000000000,2013-12-07T23:46:24.000000000
2015-05-14T20:58:01.000000000,2015-05-18T19:59:08.000000000
2015-09-22T12:30:00.000000000,2015-09-25T02:50:00.000000000
2015-10-29T21:40:00.000000000,2015-10-30T15:15:00.000000000
2017-12-01T22:25:37.000000000,2017-12-02T18:35:37.000000000
2017-12-03T18:50:37.000000000,2017-12-04T16:15:37.000000000
2017-12-10T07:20:37.000000000,2017-12-10T09:10:37.000000000
2017-12-26T00:05:37.000000000,2017-12-27T21:45:37.000000000
2019-01-05T19:31:02.000000000,2019-01-25T15:51:03.000000000
2019-02-02T14:03:07.000000000,2019-02-07T12:06:02.000000000
2019-02-13T16:32:55.000000000,2019-02-18T10:26:02.000000000
2019-03-18T11:00:31.000000000,2019-03-21T08:15:32.000000000
2019-08-23T14:37:54.000000000,2019-08-23T18:12:54.000000000
2019-10-03T23:47:38.000000000,2019-10-08T17:42:38.000000000
2019-10-13T17:17:34.000000000,2019-10-14T14:47:35.000000000
2020-06-27T23:57:55.000000000,2020-07-14T19:42:53.000000000
2020-08-01T20:12:44.000000000,2020-08-15T06:42:40.000000000
2020-04-19T20:13:19.000000000,2020-04-19T20:38:18.000000000
