# date range of values to flag, created using manual_flag() on 2021-04-04-130851
2012-07-16T19:36:08.000000000,2012-07-16T20:15:48.000000000
2012-07-22T17:11:14.000000000,2012-07-22T17:29:09.000000000
2012-07-26T20:39:26.000000000,2012-07-30T21:58:55.000000000
2012-08-09T17:07:48.000000000,2012-08-09T19:13:46.000000000
2012-08-20T17:40:59.000000000,2012-08-20T18:54:08.000000000
2012-08-30T17:05:42.000000000,2012-08-30T17:53:54.000000000
2012-09-04T17:06:39.000000000,2012-09-04T18:14:05.000000000
2012-09-05T18:17:26.000000000,2012-09-05T20:54:08.000000000
2013-03-03T15:06:36.000000000,2013-03-15T04:57:54.000000000
2013-06-30T11:50:59.000000000,2013-07-03T01:46:05.000000000
2014-04-23T18:34:51.000000000,2014-04-23T18:34:51.000000000
2014-04-23T19:39:51.000000000,2014-04-24T00:44:51.000000000
2014-05-21T04:54:25.000000000,2014-05-23T03:49:23.000000000
2014-05-23T03:54:23.000000000,2014-05-23T19:14:24.000000000
